area_name,description,house_type,m2,price,price_sqm,build_year,floor,has_elevator,condition,own_property,energy_class,fetchedAt
Alppiharju,"3h, k, rt, wc, ",kt,"71,00",485000,6831,2016,5/7,on,hyvä,oma,C2013,2024-01-16
Pukinmäki,"3h, k, kph x2, ",rt,"86,50",432000,4994,2013,,ei,hyvä,oma,,2024-01-16
Etelä-haaga,"3h, k, rt, kph,",kt,"63,00",287000,4556,1973,2/3,ei,tyyd.,oma,E2018,2024-01-16
Merihaka,"3h,k,kh,lasitet",kt,"67,50",345000,5111,1974,12/14,on,huono,oma,E2018,2024-01-16
Pihlajisto,3h+kt,kt,"69,00",280075,4059,2023,1/2,on,hyvä,vuokra,,2024-01-16
Etelä-haaga,"3h, k, kph, par",kt,"64,00",285000,4453,1958,1/3,ei,hyvä,oma,F2013,2024-01-16
Vuosaari,"3 h, k, kph, s, p",kt,"66,00",198000,3000,2001,3/7,on,tyyd.,vuokra,F2013,2024-01-16
Niemenmäki,"3h, k, kph/wc, ",kt,"72,00",310000,4306,1961,2/9,on,tyyd.,oma,E2018,2024-01-16
Etelä-haaga,"3h, k, kph, p",kt,"61,00",314000,5148,1966,3/3,ei,hyvä,oma,E2013,2024-01-16
Munkkivuori,"3h,k,kh,parveke",kt,"66,00",330000,5000,1957,2/10,on,hyvä,vuokra,G2013,2024-01-16
Töölö,3h+kk+kph+erill,kt,"58,00",308000,5310,1939,1/6,on,tyyd.,oma,G2013,2024-01-16
Kallio,"2h, avok, kph",kt,"43,00",248000,5767,1938,6/6,on,hyvä,oma,D2007,2024-01-16
Kallio,2h+k+kph (yj. m,kt,"38,00",252000,6632,1959,6/6,on,hyvä,oma,G2013,2024-01-16
Kamppi,"2 h, keittosyve",kt,"36,00",262000,7278,1929,5/5,on,hyvä,oma,E2018,2024-01-16
Mellunkylä,2h+avokeitti,rt,"41,00",160000,3902,1992,1/1,ei,hyvä,oma,E2018,2024-01-16
Ruskeasuo,"2h, avok. kph/wc",kt,"42,00",214000,5095,1948,1/3,ei,huono,oma,G,2024-01-16
Kallio,"2h, k, kph, vh, p",kt,"46,50",290000,6237,1963,4/7,on,tyyd.,oma,E2013,2024-01-16
Munkkiniemi,"2h, k, kh ,parveke",kt,"46,50",308000,6624,1952,6/6,on,tyyd.,oma,E2007,2024-01-16
Harju,"2h, kph, k, ete",kt,"50,00",288000,5760,1926,2/5,on,tyyd.,oma,,2024-01-16
